FID,UniqueID,Country,USA_AEZ,Image,Month,Year,jd,long,lat,Crop,Stage,X427,X437,X447,X457,X468,X478,X488,X498,X508,X518,X529,X539,X549,X559,X569,X579,X590,X600,X610,X620,X630,X641,X651,X661,X671,X681,X691,X702,X712,X722,X732,X742,X752,X763,X773,X783,X793,X803,X813,X824,X834,X844,X854,X864,X875,X885,X895,X905,X912,X915,X923,X925,X933,X943,X953,X963,X973,X983,X993,X1003,X1013,X1023,X1033,X1044,X1054,X1064,X1074,X1084,X1094,X1104,X1114,X1124,X1134,X1144,X1155,X1165,X1175,X1185,X1195,X1205,X1215,X1225,X1235,X1245,X1255,X1266,X1276,X1286,X1296,X1306,X1316,X1326,X1336,X1346,X1356,X1366,X1377,X1387,X1397,X1407,X1417,X1427,X1437,X1447,X1457,X1467,X1477,X1488,X1498,X1508,X1518,X1528,X1538,X1548,X1558,X1568,X1578,X1588,X1599,X1609,X1619,X1629,X1639,X1649,X1659,X1669,X1679,X1689,X1699,X1710,X1720,X1730,X1740,X1750,X1760,X1770,X1780,X1790,X1800,X1810,X1820,X1831,X1841,X1851,X1861,X1871,X1881,X1891,X1901,X1911,X1921,X1931,X1942,X1952,X1962,X1972,X1982,X1992,X2002,X2012,X2022,X2032,X2042,X2052,X2063,X2073,X2083,X2093,X2103,X2113,X2123,X2133,X2143,X2153,X2163,X2174,X2184,X2194,X2204,X2214,X2224,X2234,X2244,X2254,X2264,X2274,X2285,X2295,X2305,X2315,X2325,X2335,X2345,X2355,X2365,X2375,X2385,X2395,global_aez,State
1525,4734,USA,8,EO1H0250282008194110P1_SGS_01,7,2008,194,-90.352295,45.690742,corn,Early_Mid,NA,17.26758786,15.48741094,14.50540764,14.37322199,14.24109529,14.03948227,13.85841897,13.63561162,13.77491325,13.89670076,14.36546245,14.72230999,14.68156378,14.21410473,13.89050754,13.59598574,13.60245227,13.28850224,13.07912375,12.81556991,12.81573198,12.66440762,12.6867063,12.58584176,12.85871466,13.37844597,14.76859639,16.51246284,19.77335632,22.87037824,25.5126911,26.68651597,27.13279099,28.02122938,28.42695372,28.88008758,28.25087424,27.70352173,27.62607369,28.37347519,29.45840627,30.33177468,31.2793599,31.50541885,31.35484931,29.53351431,30.25399255,29.61626952,30.2086263,28.81142132,NA,NA,NA,NA,NA,NA,25.52744915,26.68680265,27.33332736,28.1184853,28.87053452,29.58549962,30.25465033,30.76189427,31.10007499,31.58566707,31.0620336,30.04108583,NA,NA,NA,NA,NA,NA,NA,29.44315372,29.55572926,29.8578381,30.31972361,31.33935311,32.28670986,31.86854971,31.12700272,29.32770396,28.49194566,28.83918963,30.58555739,30.30127432,28.87236237,25.8833939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.87596572,19.98543716,21.09263259,22.01418327,22.12422774,22.13199691,22.55433267,23.07578055,23.68861257,24.32032355,25.17831036,25.66638393,25.96016623,25.95908973,26.19713182,26.27818977,26.38765441,26.21417722,25.91326039,25.46102664,25.05080616,24.45221256,23.72992205,22.9641434,22.26733743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.86335938,13.51977793,14.69329932,15.31254461,15.61245674,15.587293,16.15645603,17.71889324,19.18401791,19.21977482,17.94796667,17.70310305,18.02230897,17.53340784,16.34537455,16.37464951,17.16708819,17.02202674,15.96587867,15.5193056,15.81219928,15.87459029,15.16206267,14.1376185,13.11464114,12.72915011,12.06779336,12.224704,12.7513459,NA,NA,NA,NA,NA,14,Wisconsin
1526,4735,USA,8,EO1H0250282008194110P1_SGS_01,7,2008,194,-90.401233,45.629965,corn,Early_Mid,NA,17.15737701,15.21602716,14.07692605,13.65410407,13.33384342,13.0342751,12.75413692,12.60360296,13.01867409,13.53078852,14.4206929,14.78609067,14.51173622,13.57435931,12.69711279,11.92784321,11.51349884,10.8489128,10.36849708,9.934524522,9.695219575,9.315262269,8.998242433,8.667350838,8.693998491,9.489683151,12.41395032,16.62455689,23.32412782,29.31133386,33.84084772,36.20957282,37.29253375,38.7212951,39.1519175,39.42710335,38.53642238,37.59780559,37.52305761,38.80385907,40.43283688,41.47110526,42.29417732,42.29385602,41.78088236,39.21689162,37.27425575,36.21296601,35.5355149,36.84013256,NA,NA,NA,NA,NA,NA,32.41395615,34.16735294,34.98267898,36.2604289,37.31716688,38.2539592,38.86298696,39.7216665,40.2169391,40.67819012,39.35218894,37.74632715,NA,NA,NA,NA,NA,NA,NA,33.57014042,33.64431289,34.27310833,34.91391076,35.86351365,37.00858585,36.78766976,36.01564247,33.94641671,33.12192481,33.58181613,35.25665194,34.41138529,32.49284434,28.95486433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.01612917,16.15141524,17.34555948,18.79229172,19.56191406,19.96771088,20.08038087,20.38604975,21.39400549,22.0808694,23.11672984,23.09064764,23.68072699,24.27601171,25.19406542,25.09931642,24.69656867,24.24124938,24.30271226,24.09354245,23.53412686,22.611267,21.51831171,20.51188282,19.40004066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.566958328,7.777613816,8.620808927,9.797769973,11.06473407,11.97529829,12.03998154,12.29904326,12.73965768,12.84887924,12.81044359,12.9508215,13.23392228,12.89413139,12.74892721,13.1176585,13.8559396,13.20763546,11.73754038,10.39255944,10.24447985,10.50048176,10.20760177,10.18206848,9.92612753,10.01788142,9.464855981,8.828729514,8.321641779,NA,NA,NA,NA,NA,14,Wisconsin
1527,4736,USA,8,EO1H0250282008194110P1_SGS_01,7,2008,194,-90.362089,45.700768,corn,Early_Mid,NA,16.57448361,14.95706461,14.1114381,13.87739899,13.68331574,13.31529643,13.0508635,12.87101908,13.19876056,13.57221285,14.23780714,14.54306101,14.35373068,13.56600929,12.92387231,12.28586433,12.0438406,11.43912071,11.07740782,10.71593972,10.60022202,10.18673372,9.895607549,9.582856611,9.710984379,10.41374372,12.69518801,16.30361523,22.58529166,28.95022259,34.15099717,37.14190129,38.4284374,39.91037315,40.30957625,40.79147511,39.79418863,38.78088452,38.46721491,39.5596224,41.22423828,42.40080576,43.36003762,43.47965252,43.03925659,40.46489701,39.70542451,38.50690673,37.84933778,36.43724628,NA,NA,NA,NA,NA,NA,33.18316801,34.82115346,35.68375107,36.46650206,37.04157939,37.89013812,38.73674011,39.45159133,39.79633143,40.21012692,39.36737503,37.73782314,NA,NA,NA,NA,NA,NA,NA,33.61340649,33.46690106,34.09340476,34.96383186,36.29141365,37.17521783,36.74994759,35.87267571,33.93560282,33.01604485,33.32537965,35.16937725,34.133237,31.95566528,28.17547925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.53371851,15.97141675,17.07374956,18.26932051,18.7024496,19.14731579,19.54181038,20.44252174,21.26952638,21.9690872,22.47238834,22.88310561,23.12463702,23.4501467,23.74984356,23.96546314,23.96771691,23.66655972,23.62316046,23.164833,22.67252765,21.8353373,21.14363866,20.25984139,19.02393719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.975558895,8.51484163,9.001641916,9.67423286,10.70655401,11.05973986,10.96744861,11.50464188,12.57180507,12.76977397,12.20658743,12.38356859,12.89483868,12.85185066,12.31725123,12.55900896,13.07075689,12.63808089,11.51991033,10.6509958,10.55495777,10.5220424,10.15514973,10.13182319,9.921328586,9.74944992,8.728464964,8.18138043,7.916160758,NA,NA,NA,NA,NA,14,Wisconsin
1528,4737,USA,8,EO1H0250282008194110P1_SGS_01,7,2008,194,-90.342655,45.685183,corn,Early_Mid,NA,16.39503049,14.79366688,13.99462233,13.7658766,13.51728514,13.1582856,12.75865356,12.57392422,12.76364554,12.90922162,13.33808537,13.59039166,13.46333478,12.85603579,12.40121327,11.89839979,11.75802104,11.27127141,11.05933567,10.76826946,10.7080476,10.46697784,10.35933754,10.18705643,10.31430528,10.79849727,12.4093055,14.88426952,19.45885994,24.44286483,29.08567897,31.63713805,32.5733043,33.53657017,34.07052193,34.75019741,34.32539894,33.44504638,33.13789486,33.78364226,35.19811738,36.34596375,37.144383,37.33099345,37.2527014,35.34322579,35.02279413,33.72800974,33.22776473,32.7540603,NA,NA,NA,NA,NA,NA,28.06201318,29.33615653,30.3280297,31.3900493,32.53577999,33.34251313,34.02043986,34.6741352,35.13098914,35.33027807,34.48416729,33.40535708,NA,NA,NA,NA,NA,NA,NA,29.57965748,29.82951836,30.55611929,31.16429466,32.2089841,33.03309273,32.87786843,32.10167146,30.33294624,29.34029828,29.55326787,31.04781522,30.45277374,28.74798629,25.50564171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.05490006,16.340464,17.60401659,18.63045135,18.96028734,18.82343616,18.99187837,19.4294482,20.11227266,20.93635935,21.78875405,22.42512551,22.73385527,22.9163982,23.16777759,23.38142247,23.39109084,23.16675547,22.91521157,22.76889406,22.29367182,21.43173602,20.5396397,19.86211138,18.98198356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.37494378,9.813217094,10.2605654,11.13925623,12.04200331,12.50416989,12.49020493,13.2243773,14.16305855,14.21641869,13.50551301,13.2666971,13.6470125,13.44890137,13.05616571,13.18982468,13.65776186,13.51443278,12.6620542,11.98057223,11.70262118,11.20641831,10.47583887,9.959203653,9.689347853,9.93209952,9.524336499,9.324875772,9.040912246,NA,NA,NA,NA,NA,14,Wisconsin
1529,4738,USA,8,EO1H0250282008194110P1_SGS_01,7,2008,194,-90.362881,45.701892,corn,Early_Mid,NA,16.48712142,14.77322343,13.75084277,13.53957568,13.21591268,12.90969572,12.56236455,12.44874286,12.75949913,13.24231423,14.00029529,14.36911932,14.13843101,13.28612734,12.62188805,11.89155023,11.6170003,10.94597266,10.60537769,10.17771022,9.924523855,9.516035479,9.14771719,8.879862542,8.935029418,9.87268362,12.78525749,16.93808502,23.35897076,29.20580744,33.74504669,36.17950194,37.23621661,38.59750826,39.06962843,39.49292214,38.68407924,37.7902684,37.74542872,39.08980432,40.78765593,42.03465831,43.00805407,43.35720531,42.7072695,40.21392722,39.04423244,38.19054329,37.54357676,36.77570303,NA,NA,NA,NA,NA,NA,31.5884654,32.90900464,34.02031486,35.36210134,36.42158689,36.89365418,37.4661579,38.38252783,39.01661357,39.12365389,38.43637042,37.13655854,NA,NA,NA,NA,NA,NA,NA,31.90357017,31.92133593,32.39703178,33.2326626,34.66617187,35.88177556,35.88314078,35.26434683,33.76124607,33.08129835,33.57284754,35.15940296,34.11108538,31.77661413,28.00553228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.22122415,16.50393485,17.50647651,18.5190601,18.89918973,19.24608938,19.55943267,20.29583952,21.09722703,22.02266092,22.83874993,23.41723629,23.63383144,23.76153222,24.04347779,24.03040331,23.74681016,23.46960241,23.33351955,23.14027107,22.45564194,21.73037334,20.82409717,19.95492284,18.69670321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.73937525,9.193749521,10.10085144,10.69934329,11.51660074,11.78556798,11.86719093,12.12738529,12.94287145,12.99597735,12.59498872,12.95946269,13.54337861,13.4825255,12.65022262,12.90023849,13.51537541,13.43734276,12.53243614,11.70016273,11.38615242,11.10165245,10.69899195,10.89190152,11.14053115,11.01775643,9.941680493,8.544749849,8.115745599,NA,NA,NA,NA,NA,14,Wisconsin
1530,4739,USA,8,EO1H0250282008194110P1_SGS_01,7,2008,194,-90.333004,45.72427,corn,Early_Mid,NA,17.32426856,15.57246507,14.75816496,14.55380441,14.33578404,14.08464496,13.87711513,13.85693379,14.10941833,14.44974736,15.04869365,15.45817929,15.3786343,14.782328,14.37421267,13.98872744,13.97847287,13.65642498,13.50390027,13.27570224,13.23916129,13.00381259,12.9627172,12.82109322,13.15111024,13.95859178,16.34414599,19.12636538,23.47964449,27.17056512,30.55524026,32.32502143,33.02088988,34.1388196,34.80536008,35.72720936,35.64071147,35.15985657,35.28680831,36.37623071,38.25645647,39.86346468,41.22600603,41.77760091,42.08599587,40.15266685,39.07605421,37.70263371,36.61895377,36.41225698,NA,NA,NA,NA,NA,NA,34.40435238,35.6986901,36.53783554,37.32636563,38.73815755,39.87785647,40.94073347,41.66605807,42.17383513,42.95841687,42.20332221,40.5443296,NA,NA,NA,NA,NA,NA,NA,39.52448085,39.60136122,40.61866954,41.42957559,42.72328322,44.08654954,44.29383347,43.67605098,41.71807863,40.95955393,42.04272265,44.26891682,43.41363852,41.18498422,37.14778277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.27336646,27.86749847,28.98824001,29.90295481,29.69383844,29.40846608,29.63234977,30.21542158,31.05005162,32.68253972,34.47640064,35.33275742,35.46329825,35.52779205,36.01809194,35.99104136,35.7054781,35.1812176,34.70949684,33.7650263,32.95899673,32.01957334,31.50321322,30.53912932,29.46605865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.00884757,16.42839851,17.29156301,17.93905809,18.81125168,18.78827679,18.72342112,19.05092262,19.80654632,20.08829114,19.88890128,20.87695445,21.66191283,22.05917026,21.48956155,21.73184365,21.7924945,21.00229922,19.36682131,17.91753629,17.20974709,16.31866535,15.26830198,14.83708888,14.70174729,15.14766543,14.31759852,12.94115796,11.59269567,NA,NA,NA,NA,NA,14,Wisconsin
1531,4740,USA,8,EO1H0250282008194110P1_SGS_01,7,2008,194,-90.353413,45.709054,corn,Early_Mid,NA,16.40613507,14.95922345,13.89770619,13.66286434,13.46286898,13.20898455,12.88281045,12.74428335,12.91749456,13.31995779,13.92303974,14.39992975,14.2736848,13.62274989,13.05151441,12.54160093,12.38199211,11.94681165,11.66865203,11.39942915,11.30548623,11.04812288,10.85073188,10.67161285,10.81772264,11.50715613,13.56303548,16.47755323,21.67303795,26.73867166,30.96968384,33.05700491,33.87383688,35.02278157,35.58735355,36.05939609,35.32769884,34.49330787,34.31747228,35.39932197,36.74550062,37.86397509,38.84276828,39.29143706,38.86893064,36.25782398,36.73784204,35.87613045,35.90724367,33.68420083,NA,NA,NA,NA,NA,NA,29.42203401,30.94903549,31.71458666,33.11052887,33.8459882,34.8314982,35.41498296,36.44001693,36.76324586,37.06375741,35.65854367,34.08568225,NA,NA,NA,NA,NA,NA,NA,31.76441072,31.80091887,32.10918016,32.48519804,33.79725642,34.83305801,34.74385355,33.99209171,32.38403348,31.73643473,31.93617014,33.52396401,32.80425204,31.2170883,28.13294457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.93912062,19.05240416,19.8587506,20.73474108,21.1836008,21.45219619,22.0458999,22.85510184,23.62574163,24.28610901,25.07587038,25.46598933,25.64375684,25.57560332,25.83481008,25.92723507,25.80166856,25.63662659,25.57379087,25.53039128,25.13864161,24.28182435,23.37033325,22.36365002,21.01608133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.078903919,10.7882509,12.83510034,14.14252352,14.65724012,14.41616296,14.28852431,14.57818144,15.29790907,15.3128303,14.87808726,15.25125485,15.66463492,15.65613661,15.01932752,15.52101926,16.13503585,15.67537864,14.44587921,13.49302704,13.2428751,13.25054122,12.97677799,12.78985558,12.43931961,12.20022472,11.79986432,11.18807445,10.50958485,NA,NA,NA,NA,NA,14,Wisconsin
1532,4741,USA,8,EO1H0250282008194110P1_SGS_01,7,2008,194,-90.343759,45.688586,corn,Early_Mid,NA,16.12880974,14.60494652,13.86631117,13.5655461,13.23399747,12.86982033,12.482074,12.33416236,12.39915761,12.59206475,13.10641663,13.41041424,13.27948803,12.52240036,11.90657544,11.29873304,11.13119387,10.60251477,10.27431808,9.889136,9.780467423,9.503925616,9.355673623,9.150208581,9.231642616,9.643302116,11.49284394,14.33533406,19.65243551,25.26531191,30.53494577,33.45571223,34.55942797,35.60006015,36.15081402,36.79440772,36.30217973,35.23631101,34.84932445,35.50485362,37.23004477,38.55613873,39.69286788,39.78884112,39.42015899,36.79072773,35.59767784,34.63980208,34.38280573,34.3739192,NA,NA,NA,NA,NA,NA,29.71570097,31.0993802,31.97495187,33.09149129,34.1577764,35.25312605,35.79618824,36.07338195,35.99804548,36.1009677,35.1095956,33.78975868,NA,NA,NA,NA,NA,NA,NA,30.47554377,30.3603798,30.70560076,30.96257099,32.23406891,33.41404384,33.34693994,32.68967992,31.13070583,30.38874058,30.71259017,31.95949097,31.03433976,29.07596288,25.86669478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.47418526,15.8390494,17.09390995,18.23883154,18.46391543,18.46509946,18.59039619,19.27264019,20.15064353,21.19594327,22.0705636,22.42639255,22.44112053,22.36122721,22.71585751,22.89171757,22.93255125,22.56298866,22.25836504,21.98924255,21.89172586,21.45653506,20.86941878,20.05001661,19.05497819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.181246977,8.456307251,9.285066745,10.04112754,10.60390357,11.42996695,12.43083395,13.4388338,13.82545864,13.16680867,12.40981445,12.4029912,12.91585463,12.87286661,12.38777319,12.60838308,13.24399191,13.24054422,12.664978,11.74975594,11.17090341,10.89567915,10.81031475,10.78257525,10.48953659,9.839496767,8.788718955,8.070596544,8.292721358,NA,NA,NA,NA,NA,14,Wisconsin
1533,4742,USA,8,EO1H0250282008194110P1_SGS_01,7,2008,194,-90.352934,45.685588,corn,Early_Mid,NA,16.3722641,14.51936135,13.54108022,13.24704893,12.98299359,12.64983779,12.31550896,12.14404646,12.33338095,12.6549783,13.27269662,13.63644653,13.43352504,12.61968167,11.88128132,11.24963964,10.94296589,10.309379,9.872460379,9.428550692,9.288658242,8.962509745,8.687229242,8.394396021,8.41226435,8.991273057,11.44540815,15.24841311,22.20695685,29.37315187,35.86195791,39.47595383,41.14632352,42.66447565,43.49753249,44.21344092,43.38513761,42.22696913,41.62181867,42.61327083,44.48166636,46.04520942,47.1999643,47.23688482,46.77240873,43.84535937,42.81703795,41.31327416,40.60858399,40.0655462,NA,NA,NA,NA,NA,NA,35.02287833,36.64955639,37.70261576,38.73162332,39.99089809,41.13594102,41.98197773,42.88277545,43.37801383,43.91184613,42.44315472,40.49244905,NA,NA,NA,NA,NA,NA,NA,35.10616473,35.08609849,35.62059936,36.15200906,37.31343127,38.37164546,38.21313229,37.37073449,35.3766398,34.23803075,34.8109858,36.46049099,35.59381962,33.18979277,29.43451874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.44188198,14.82606968,16.2147333,17.63342723,18.08931084,18.301256,18.74708081,19.34762392,20.0804191,20.99018452,22.0851465,22.8414928,23.10676774,23.11255686,23.18941569,23.13741401,23.18622803,23.14845688,23.09371834,22.55331571,21.96714174,21.0914086,20.48469848,19.56985767,18.53699621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.030440581,7.128610531,8.000325506,8.786373297,9.628222141,10.10985485,10.62801702,11.09517129,11.38174717,10.98959261,10.47489266,11.29387242,12.17010805,12.10677971,11.0442477,10.83574163,11.43009348,11.49861422,10.99972019,10.34296537,9.89243943,9.350787383,8.828081693,9.028241271,9.126603632,9.428589635,8.873713541,8.090681729,7.16330651,NA,NA,NA,NA,NA,14,Wisconsin
1534,4743,USA,8,EO1H0250282008194110P1_SGS_01,7,2008,194,-90.366283,45.675311,corn,Early_Mid,NA,17.89495149,16.24868795,15.29638416,14.99964267,14.68428963,14.36798627,14.1156923,14.02245845,14.24480748,14.40895083,14.95000475,15.27562233,15.27935422,14.6907653,14.35308373,13.98373135,13.96204832,13.62394317,13.40862469,13.2041619,13.20327023,13.03846238,13.0260048,12.94644665,13.1286788,13.76215538,15.33217468,17.38705193,20.87208229,24.01761608,26.60491494,27.7695556,28.27471385,29.17517248,29.51811924,29.93548606,29.41877912,28.7863258,28.71731332,29.72151139,31.09647012,32.05078228,32.88882273,33.09312567,32.99958092,31.12890063,32.44309756,31.85417788,32.79388105,30.20825348,NA,NA,NA,NA,NA,NA,28.34631633,29.47068893,30.37475581,31.75501608,32.67138927,33.38649334,33.87826262,34.5634372,35.1098227,35.54882103,34.71495973,33.13844003,NA,NA,NA,NA,NA,NA,NA,31.69641999,31.66954531,32.04696364,32.30424085,33.56300385,34.78501011,34.77409461,33.91191452,31.89460563,31.18622087,31.62037948,33.28128914,32.52758799,30.97398581,28.02381399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.15996471,20.56026246,21.92717752,22.64713275,22.44238387,22.17708055,22.63830273,23.52387503,24.05563375,24.73166959,25.52941444,25.81674287,25.87982435,26.05011134,26.76523435,27.01446744,26.7764736,26.48310909,26.2870544,25.90817976,25.41776352,24.75558959,24.10513741,23.38502649,22.39190512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.15011918,12.44019296,13.55688479,15.1088976,16.28380446,16.96492019,17.39831204,17.99737573,18.60272124,18.20653914,17.66663818,17.85758513,18.27028892,17.64855153,16.68063504,16.49126662,17.0657733,17.00110168,16.40193398,15.7463931,15.27309698,14.70385742,13.94600333,13.71400553,13.39964842,13.37753552,12.71802915,12.16879967,11.53110625,NA,NA,NA,NA,NA,14,Wisconsin
