"","MasterID","UniqueID","Lon","Lat","Sensor","Image","Global_AEZ","Country","StudyArea","Year","Month","JulianDay","Crop","GrowthStage","PlotID","Residue_Cover_%","Residue_RWC","Soil_RWC","RWC","Wavelength","Reflectance"
"877581","60180","T2.05.A","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","0","0.862","0.862","0.862","2490","1e-04"
"877582","60181","T2.05.B","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","1.52","0.862","0.862","0.862","2490","1e-04"
"877583","60182","T2.05.C","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","4.55","0.862","0.862","0.862","2490","1e-04"
"877584","60183","T2.05.D","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","3.79","0.862","0.862","0.862","2490","4.6278"
"877585","60184","T2.05.E","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","3.03","0.862","0.862","0.862","2490","1e-04"
"877586","60185","T2.05.F","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","2.27","0.862","0.862","0.862","2490","1e-04"
"877587","60186","T2.05.G","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","2.27","0.862","0.862","0.862","2490","1e-04"
"877588","60187","T2.05.H","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","1.52","0.862","0.862","0.862","2490","1e-04"
"877589","60188","T2.05.I","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","5.3","0.862","0.862","0.862","2490","1e-04"
"877590","60189","T2.05.J","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","3.79","0.862","0.862","0.862","2490","1e-04"
"877591","60190","T2.06.A","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","0.76","0.222","0.222","0.222","2490","14.7572"
"877592","60191","T2.06.B","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","0","0.222","0.222","0.222","2490","1e-04"
"877593","60192","T2.06.C","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","1.52","0.222","0.222","0.222","2490","10.3602"
"877594","60193","T2.06.D","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","0.76","0.222","0.222","0.222","2490","24.4295"
"877595","60194","T2.06.E","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","0","0.222","0.222","0.222","2490","12.0411"
"877596","60195","T2.06.F","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","0","0.222","0.222","0.222","2490","1e-04"
"877597","60196","T2.06.G","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","0","0.222","0.222","0.222","2490","1e-04"
"877598","60197","T2.06.H","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","0","0.222","0.222","0.222","2490","1e-04"
"877599","60198","T2.06.I","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","0","0.222","0.222","0.222","2490","40.0124"
"877600","60199","T2.06.J","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","0","0.222","0.222","0.222","2490","16.4412"
"877601","60200","T2.07.A","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","28.79","0.3213","0.822","0.678","2490","15.3743"
"877602","60201","T2.07.B","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","31.06","0.3213","0.822","0.666","2490","17.3395"
"877603","60202","T2.07.C","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","28.03","0.3213","0.822","0.682","2490","1e-04"
"877604","60203","T2.07.D","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","29.77","0.3213","0.822","0.673","2490","5.6822"
"877605","60204","T2.07.E","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","37.12","0.3213","0.822","0.636","2490","1e-04"
"877606","60205","T2.07.F","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","39.39","0.3213","0.822","0.625","2490","1e-04"
"877607","60206","T2.07.G","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","42.42","0.3213","0.822","0.61","2490","14.767"
"877608","60207","T2.07.H","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","25","0.3213","0.822","0.697","2490","1e-04"
"877609","60208","T2.07.I","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","28.79","0.3213","0.822","0.678","2490","1e-04"
"877610","60209","T2.07.J","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","36.09","0.3213","0.822","0.641","2490","1e-04"
"877611","60210","T2.08.A","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","9.85","0.0141","0.169","0.154","2490","18.2647"
"877612","60211","T2.08.B","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","13.64","0.0141","0.169","0.148","2490","33.9862"
"877613","60212","T2.08.C","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","12.88","0.0141","0.169","0.149","2490","14.3083"
"877614","60213","T2.08.D","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","15.91","0.0141","0.169","0.144","2490","1e-04"
"877615","60214","T2.08.E","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","9.85","0.0141","0.169","0.154","2490","28.7952"
"877616","60215","T2.08.F","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","17.42","0.0141","0.169","0.142","2490","12.9076"
"877617","60216","T2.08.G","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","21.54","0.0141","0.169","0.136","2490","3.0754"
"877618","60217","T2.08.H","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","23.48","0.0141","0.169","0.133","2490","9.3206"
"877619","60218","T2.08.I","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","22.73","0.0141","0.169","0.134","2490","32.9449"
"877620","60219","T2.08.J","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","25","0.0141","0.169","0.13","2490","21.5596"
"877621","60220","T2.09.A","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","40.91","0.185","0.88","0.596","2490","6.417"
"877622","60221","T2.09.B","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","37.88","0.185","0.88","0.617","2490","4.5687"
"877623","60222","T2.09.C","-76.8447","39.03","ASD","NA","10","USA","Maryland","2014","7","210","Maize","Soil","NA","31.82","0.185","0.88","0.659","2490","0.2136"
