MasterID,UniqueID,Long,Lat,Sensor,Image,Global_AEZ,Country,StudyArea,Year,Month,JulianDay,Crop,PlotID,Wavelength,Reflectance
3005466,ALSHA01.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,172,Alfalfa,ALSHA01,427,NA
3005467,ALSHA01.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,210,Alfalfa,ALSHA01,427,3.65
3005468,ALSHA02.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,172,Alfalfa,ALSHA02,427,NA
3005469,ALSHA02.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,210,Alfalfa,ALSHA02,427,5.4975
3005470,ALSHA03.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,172,Alfalfa,ALSHA03,427,NA
3005471,ALSHA03.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,210,Alfalfa,ALSHA03,427,5.4
3005472,ALSHA04.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,172,Alfalfa,ALSHA04,427,NA
3005473,ALSHA04.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,210,Alfalfa,ALSHA04,427,4.92777778
3005474,ALSHA05.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,174,Alfalfa,ALSHA05,427,NA
3005475,ALSHA05.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,210,Alfalfa,ALSHA05,427,5.765
3005476,ALSHA06.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,174,Alfalfa,ALSHA06,427,NA
3005477,ALSHA06.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,210,Alfalfa,ALSHA06,427,5.78
3005478,ALTYL01.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,183,Alfalfa,ALTYL01,427,-1.656
3005479,ALTYL01.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,237,Alfalfa,ALTYL01,427,NA
3005480,ALTYL02.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,183,Alfalfa,ALTYL02,427,-1.62666667
3005481,ALTYL02.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,237,Alfalfa,ALTYL02,427,NA
3005482,ALTYL03.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,183,Alfalfa,ALTYL03,427,-2.845
3005483,ALTYL03.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,238,Alfalfa,ALTYL03,427,NA
3005484,ALTYL04.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,183,Alfalfa,ALTYL04,427,-2.27
3005485,ALTYL04.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,238,Alfalfa,ALTYL04,427,NA
3005486,ALTYL05.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,183,Alfalfa,ALTYL05,427,-2.1725
3005487,ALTYL05.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,238,Alfalfa,ALTYL05,427,NA
3005488,ALTYL06.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,186,Alfalfa,ALTYL06,427,-2.465
3005489,ALTYL06.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,238,Alfalfa,ALTYL06,427,NA
3005490,ALTYL07.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,186,Alfalfa,ALTYL07,427,-1.88
3005491,ALTYL07.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,238,Alfalfa,ALTYL07,427,NA
3005492,ALTYL08.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,183,Alfalfa,ALTYL08,427,-1.272
3005493,ALTYL08.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,238,Alfalfa,ALTYL08,427,NA
3005494,ALTYL09.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,183,Alfalfa,ALTYL09,427,-1.996
3005495,ALTYL09.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,238,Alfalfa,ALTYL09,427,NA
3005496,ALTYL10.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,183,Alfalfa,ALTYL10,427,-2.408
3005497,ALTYL10.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,237,Alfalfa,ALTYL10,427,NA
3005498,ALWAS01.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,171,Alfalfa,ALWAS01,427,NA
3005499,ALWAS01.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,211,Alfalfa,ALWAS01,427,NA
3005500,ALWAS02.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,211,Alfalfa,ALWAS02,427,NA
3005501,ALWAS03.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,171,Alfalfa,ALWAS03,427,NA
3005502,ALWAS03.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,211,Alfalfa,ALWAS03,427,NA
3005503,ALWAS04.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,171,Alfalfa,ALWAS04,427,NA
3005504,ALWAS04.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,7,209,Alfalfa,ALWAS04,427,NA
3005505,ALWSR01.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,165,Alfalfa,ALWSR01,427,3.1725
3005506,ALWSR01.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,215,Alfalfa,ALWSR01,427,0.9525
3005507,ALWSR02.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,165,Alfalfa,ALWSR02,427,2.025
3005508,ALWSR02.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,215,Alfalfa,ALWSR02,427,1.23
3005509,ALWSR03.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,167,Alfalfa,ALWSR03,427,5.425
3005510,ALWSR03.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,215,Alfalfa,ALWSR03,427,0.9575
3005511,ALWSR04.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,167,Alfalfa,ALWSR04,427,4.2
3005512,ALWSR04.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,215,Alfalfa,ALWSR04,427,1.1
3005513,ALWSR05.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,165,Alfalfa,ALWSR05,427,4.8125
3005514,ALWSR05.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,214,Alfalfa,ALWSR05,427,1.1575
3005515,ALWSR06.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,165,Alfalfa,ALWSR06,427,2.51
3005516,ALWSR06.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,214,Alfalfa,ALWSR06,427,1.0325
3005517,ALWSR07.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,164,Alfalfa,ALWSR07,427,1.015
3005518,ALWSR07.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,214,Alfalfa,ALWSR07,427,-0.975
3005519,ALWSR08.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,165,Alfalfa,ALWSR08,427,6.012
3005520,ALWSR08.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,214,Alfalfa,ALWSR08,427,0.375
3005521,ALWSR09.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,165,Alfalfa,ALWSR09,427,2.15
3005522,ALWSR09.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,214,Alfalfa,ALWSR09,427,0.555
3005523,ALWSR10.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,165,Alfalfa,ALWSR10,427,2.2725
3005524,ALWSR10.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,214,Alfalfa,ALWSR10,427,3.5325
3005525,COAZC01.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,166,Cotton,COAZC01,427,NA
3005526,COAZC01.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,219,Cotton,COAZC01,427,NA
3005527,COAZC02.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,166,Cotton,COAZC02,427,NA
3005528,COAZC02.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,219,Cotton,COAZC02,427,NA
3005529,COAZC03.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,166,Cotton,COAZC03,427,NA
3005530,COAZC03.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,219,Cotton,COAZC03,427,NA
3005531,COAZC04.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,166,Cotton,COAZC04,427,NA
3005532,COAZC04.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,219,Cotton,COAZC04,427,NA
3005533,COAZC05.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,166,Cotton,COAZC05,427,NA
3005534,COAZC05.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,219,Cotton,COAZC05,427,NA
3005535,COAZC06.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,166,Cotton,COAZC06,427,NA
3005536,COAZC06.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,219,Cotton,COAZC06,427,NA
3005537,COAZC07.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,166,Cotton,COAZC07,427,NA
3005538,COAZC07.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,220,Cotton,COAZC07,427,NA
3005539,COAZC08.1.2012,NA,NA,Hyperion,NA,5,USA,California,2012,6,167,Cotton,COAZC08,427,NA
3005540,COAZC08.2.2012,NA,NA,Hyperion,NA,5,USA,California,2012,8,220,Cotton,COAZC08,427,NA
