,FID,UniqueID,Country,USA_AEZ,Image,Month,Year,jd,long,lat,Crop,Stage,global_aez,State,Information
0,0,1466,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.663419,38.534516,corn,Critical,9,California,UniqueID: 1466 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.663419 | Latitude: 38.534516 | Crop: corn | Crop Stage: Critical | Global AEZ: 9
1,1,1467,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.671589,38.504744,corn,Critical,9,California,UniqueID: 1467 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.671589 | Latitude: 38.504744 | Crop: corn | Crop Stage: Critical | Global AEZ: 9
2,2,1469,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.597588,38.614056,corn,Critical,9,California,UniqueID: 1469 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.597588 | Latitude: 38.614056 | Crop: corn | Crop Stage: Critical | Global AEZ: 9
3,3,1470,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.687293,38.571702,corn,Critical,9,California,UniqueID: 1470 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.687293 | Latitude: 38.571702 | Crop: corn | Crop Stage: Critical | Global AEZ: 9
4,4,1476,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.625189,38.572225,rice,Early_Mid,9,California,UniqueID: 1476 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.625189 | Latitude: 38.572225 | Crop: rice | Crop Stage: Early_Mid | Global AEZ: 9
5,5,1477,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.634231,38.490134,rice,Early_Mid,9,California,UniqueID: 1477 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.634231 | Latitude: 38.490134 | Crop: rice | Crop Stage: Early_Mid | Global AEZ: 9
6,6,1478,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.634945,38.527491,rice,Early_Mid,9,California,UniqueID: 1478 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.634945 | Latitude: 38.527491 | Crop: rice | Crop Stage: Early_Mid | Global AEZ: 9
7,7,1479,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.653029,38.596496,rice,Early_Mid,9,California,UniqueID: 1479 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.653029 | Latitude: 38.596496 | Crop: rice | Crop Stage: Early_Mid | Global AEZ: 9
8,8,1480,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.652077,38.609821,rice,Early_Mid,9,California,UniqueID: 1480 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.652077 | Latitude: 38.609821 | Crop: rice | Crop Stage: Early_Mid | Global AEZ: 9
9,9,1481,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.630424,38.632188,rice,Early_Mid,9,California,UniqueID: 1481 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.630424 | Latitude: 38.632188 | Crop: rice | Crop Stage: Early_Mid | Global AEZ: 9
10,10,1482,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.646605,38.64123,rice,Early_Mid,9,California,UniqueID: 1482 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.646605 | Latitude: 38.64123 | Crop: rice | Crop Stage: Early_Mid | Global AEZ: 9
11,11,1483,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.657074,38.651223,rice,Early_Mid,9,California,UniqueID: 1483 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.657074 | Latitude: 38.651223 | Crop: rice | Crop Stage: Early_Mid | Global AEZ: 9
12,12,1484,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.668734,38.638612,rice,Early_Mid,9,California,UniqueID: 1484 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.668734 | Latitude: 38.638612 | Crop: rice | Crop Stage: Early_Mid | Global AEZ: 9
13,13,1485,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.643035,38.547241,rice,Early_Mid,9,California,UniqueID: 1485 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.643035 | Latitude: 38.547241 | Crop: rice | Crop Stage: Early_Mid | Global AEZ: 9
14,14,1486,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.624713,38.594116,rice,Early_Mid,9,California,UniqueID: 1486 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.624713 | Latitude: 38.594116 | Crop: rice | Crop Stage: Early_Mid | Global AEZ: 9
15,15,1487,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.680916,38.608298,rice,Early_Mid,9,California,UniqueID: 1487 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.680916 | Latitude: 38.608298 | Crop: rice | Crop Stage: Early_Mid | Global AEZ: 9
16,16,1488,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.615434,38.546527,rice,Early_Mid,9,California,UniqueID: 1488 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.615434 | Latitude: 38.546527 | Crop: rice | Crop Stage: Early_Mid | Global AEZ: 9
17,17,1489,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.66802,38.526777,rice,Early_Mid,9,California,UniqueID: 1489 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.66802 | Latitude: 38.526777 | Crop: rice | Crop Stage: Early_Mid | Global AEZ: 9
18,18,1490,USA,7,EO1H0440332012234110KD_SGS_01,8,2012,234,-121.66683,38.618387,rice,Early_Mid,9,California,UniqueID: 1490 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 234 | Longitude: -121.66683 | Latitude: 38.618387 | Crop: rice | Crop Stage: Early_Mid | Global AEZ: 9
19,19,1516,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.663419,38.534516,corn,Critical,9,California,UniqueID: 1516 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.663419 | Latitude: 38.534516 | Crop: corn | Crop Stage: Critical | Global AEZ: 9
20,20,1519,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.597588,38.614056,corn,Critical,9,California,UniqueID: 1519 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.597588 | Latitude: 38.614056 | Crop: corn | Crop Stage: Critical | Global AEZ: 9
21,21,1520,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.687293,38.571702,corn,Critical,9,California,UniqueID: 1520 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.687293 | Latitude: 38.571702 | Crop: corn | Crop Stage: Critical | Global AEZ: 9
22,22,1526,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.625189,38.572225,rice,Late,9,California,UniqueID: 1526 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.625189 | Latitude: 38.572225 | Crop: rice | Crop Stage: Late | Global AEZ: 9
23,23,1527,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.634231,38.490134,rice,Late,9,California,UniqueID: 1527 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.634231 | Latitude: 38.490134 | Crop: rice | Crop Stage: Late | Global AEZ: 9
24,24,1528,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.634945,38.527491,rice,Late,9,California,UniqueID: 1528 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.634945 | Latitude: 38.527491 | Crop: rice | Crop Stage: Late | Global AEZ: 9
25,25,1529,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.653029,38.596496,rice,Late,9,California,UniqueID: 1529 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.653029 | Latitude: 38.596496 | Crop: rice | Crop Stage: Late | Global AEZ: 9
26,26,1530,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.652077,38.609821,rice,Late,9,California,UniqueID: 1530 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.652077 | Latitude: 38.609821 | Crop: rice | Crop Stage: Late | Global AEZ: 9
27,27,1531,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.630424,38.632188,rice,Late,9,California,UniqueID: 1531 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.630424 | Latitude: 38.632188 | Crop: rice | Crop Stage: Late | Global AEZ: 9
28,28,1532,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.646605,38.64123,rice,Late,9,California,UniqueID: 1532 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.646605 | Latitude: 38.64123 | Crop: rice | Crop Stage: Late | Global AEZ: 9
29,29,1533,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.657074,38.651223,rice,Late,9,California,UniqueID: 1533 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.657074 | Latitude: 38.651223 | Crop: rice | Crop Stage: Late | Global AEZ: 9
30,30,1534,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.668734,38.638612,rice,Late,9,California,UniqueID: 1534 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.668734 | Latitude: 38.638612 | Crop: rice | Crop Stage: Late | Global AEZ: 9
31,31,1535,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.643035,38.547241,rice,Late,9,California,UniqueID: 1535 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.643035 | Latitude: 38.547241 | Crop: rice | Crop Stage: Late | Global AEZ: 9
32,32,1537,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.680916,38.608298,rice,Late,9,California,UniqueID: 1537 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.680916 | Latitude: 38.608298 | Crop: rice | Crop Stage: Late | Global AEZ: 9
33,33,1538,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.615434,38.546527,rice,Late,9,California,UniqueID: 1538 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.615434 | Latitude: 38.546527 | Crop: rice | Crop Stage: Late | Global AEZ: 9
34,34,1539,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.66802,38.526777,rice,Late,9,California,UniqueID: 1539 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.66802 | Latitude: 38.526777 | Crop: rice | Crop Stage: Late | Global AEZ: 9
35,35,1540,USA,7,EO1H0440332012239110KE_PF1_01,8,2012,239,-121.66683,38.618387,rice,Late,9,California,UniqueID: 1540 | USA AEZ: 7 | Month: 8 | Year: 2012 | jd: 239 | Longitude: -121.66683 | Latitude: 38.618387 | Crop: rice | Crop Stage: Late | Global AEZ: 9
36,36,1720,USA,2,EO1H0380372011280110PJ_SGS_01,10,2011,280,-114.212255,32.666147,cotton,Mature_Senesc,9,Arizona,UniqueID: 1720 | USA AEZ: 2 | Month: 10 | Year: 2011 | jd: 280 | Longitude: -114.212255 | Latitude: 32.666147 | Crop: cotton | Crop Stage: Mature_Senesc | Global AEZ: 9
37,37,1722,USA,2,EO1H0380372011280110PJ_SGS_01,10,2011,280,-114.212112,32.664577,cotton,Harvest,9,Arizona,UniqueID: 1722 | USA AEZ: 2 | Month: 10 | Year: 2011 | jd: 280 | Longitude: -114.212112 | Latitude: 32.664577 | Crop: cotton | Crop Stage: Harvest | Global AEZ: 9
38,38,1723,USA,2,EO1H0380372011280110PJ_SGS_01,10,2011,280,-114.203975,32.665862,cotton,Harvest,9,Arizona,UniqueID: 1723 | USA AEZ: 2 | Month: 10 | Year: 2011 | jd: 280 | Longitude: -114.203975 | Latitude: 32.665862 | Crop: cotton | Crop Stage: Harvest | Global AEZ: 9
39,39,1724,USA,2,EO1H0380372011280110PJ_SGS_01,10,2011,280,-114.207591,32.664149,cotton,Harvest,9,Arizona,UniqueID: 1724 | USA AEZ: 2 | Month: 10 | Year: 2011 | jd: 280 | Longitude: -114.207591 | Latitude: 32.664149 | Crop: cotton | Crop Stage: Harvest | Global AEZ: 9
40,40,1726,USA,2,EO1H0380372011280110PJ_SGS_01,10,2011,280,-114.206517,32.666292,cotton,Harvest,9,Arizona,UniqueID: 1726 | USA AEZ: 2 | Month: 10 | Year: 2011 | jd: 280 | Longitude: -114.206517 | Latitude: 32.666292 | Crop: cotton | Crop Stage: Harvest | Global AEZ: 9
41,41,1727,USA,2,EO1H0380372011280110PJ_SGS_01,10,2011,280,-114.203654,32.664287,cotton,Mature_Senesc,9,Arizona,UniqueID: 1727 | USA AEZ: 2 | Month: 10 | Year: 2011 | jd: 280 | Longitude: -114.203654 | Latitude: 32.664287 | Crop: cotton | Crop Stage: Mature_Senesc | Global AEZ: 9
42,42,1728,USA,2,EO1H0380372011280110PJ_SGS_01,10,2011,280,-114.207623,32.662438,cotton,Mature_Senesc,9,Arizona,UniqueID: 1728 | USA AEZ: 2 | Month: 10 | Year: 2011 | jd: 280 | Longitude: -114.207623 | Latitude: 32.662438 | Crop: cotton | Crop Stage: Mature_Senesc | Global AEZ: 9
43,43,1730,USA,2,EO1H0380372011280110PJ_SGS_01,10,2011,280,-114.22866,32.6773,cotton,Harvest,9,Arizona,UniqueID: 1730 | USA AEZ: 2 | Month: 10 | Year: 2011 | jd: 280 | Longitude: -114.22866 | Latitude: 32.6773 | Crop: cotton | Crop Stage: Harvest | Global AEZ: 9
