MasterID,UniqueID,Long,Lat,Sensor,Image,Global_AEZ,Country,StudyArea,Year,Month,JulianDay,Crop,PlotID,Wavelength,Reflectance
3000000,ALSHA0101.1.2011,-119.3185696,35.47902812,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0101,428,2.394446431
3000001,ALSHA0102.1.2011,-119.3182543,35.47902368,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0102,428,2.675335672
3000002,ALSHA0103.1.2011,-119.3179726,35.47904438,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0103,428,2.403913976
3000003,ALSHA0104.1.2011,-119.3179649,35.47875848,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0104,428,3.387474131
3000004,ALSHA0105.1.2011,-119.3182385,35.47874859,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0105,428,2.898510987
3000005,ALSHA0106.1.2011,-119.3185804,35.47871975,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0106,428,2.805773376
3000006,ALSHA0107.1.2011,-119.3185975,35.47851951,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0107,428,2.853756042
3000007,ALSHA0108.1.2011,-119.3182499,35.47850149,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0108,428,3.045701548
3000008,ALSHA0109.1.2011,-119.3179733,35.47851398,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0109,428,3.135208992
3000009,ALSHA0201.1.2011,-119.317431,35.47962684,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0201,428,2.487899181
3000010,ALSHA0202.1.2011,-119.317119,35.47963254,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0202,428,3.024397794
3000011,ALSHA0203.1.2011,-119.3167677,35.47962232,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0203,428,2.36685705
3000012,ALSHA0204.1.2011,-119.3167607,35.47937857,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0204,428,2.163644091
3000013,ALSHA0205.1.2011,-119.3171127,35.47938704,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0205,428,2.238901616
3000014,ALSHA0206.1.2011,-119.3174406,35.47935384,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0206,428,2.743047868
3000015,ALSHA0207.1.2011,-119.3174326,35.47913013,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0207,428,2.542536834
3000016,ALSHA0208.1.2011,-119.317092,35.47914094,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0208,428,2.45391139
3000017,ALSHA0209.1.2011,-119.3167475,35.47912703,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0209,428,2.672715564
3000018,ALSHA0301.1.2011,-119.3193756,35.47960614,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0301,428,1.675064266
3000019,ALSHA0302.1.2011,-119.3190275,35.4796136,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0302,428,2.378097634
3000020,ALSHA0303.1.2011,-119.3186611,35.47961108,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0303,428,2.049432224
3000021,ALSHA0304.1.2011,-119.3186684,35.4793292,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0304,428,2.475911188
3000022,ALSHA0305.1.2011,-119.3190289,35.4793256,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0305,428,2.610635577
3000023,ALSHA0306.1.2011,-119.3193754,35.47930699,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0306,428,2.117837864
3000024,ALSHA0307.1.2011,-119.3193899,35.47908931,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0307,428,2.166968592
3000025,ALSHA0308.1.2011,-119.3190348,35.47907883,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0308,428,2.1787295
3000026,ALSHA0309.1.2011,-119.3186816,35.4790795,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0309,428,2.127213599
3000027,ALSHA0310.1.2011,-119.3190283,35.47930422,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0310,428,2.741392638
3000028,ALSHA0401.1.2011,-119.3191152,35.48184746,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0401,428,3.320525439
3000029,ALSHA0402.1.2011,-119.3188349,35.48179516,ASD,NA,5,USA,California,2011,NA,NA,Alfalfa,ALSHA0402,428,2.987210565
